last_name,first_name,birthday,gender,typeRep,state,party,url,wikipedia_id
Brown,Sherrod,11/9/1952,M,sen,OH,Democrat,https://www.brown.senate.gov,Sherrod Brown
Cantwell,Maria,10/13/1958,F,sen,WA,Democrat,https://www.cantwell.senate.gov,Maria Cantwell
Cardin,Benjamin,10/5/1943,M,sen,MD,Democrat,https://www.cardin.senate.gov,Ben Cardin
Carper,Thomas,1/23/1947,M,sen,DE,Democrat,https://www.carper.senate.gov/public,Tom Carper
Casey,Robert,4/13/1960,M,sen,PA,Democrat,https://www.casey.senate.gov,Bob Casey Jr.
Feinstein,Dianne,6/22/1933,F,sen,CA,Democrat,https://www.feinstein.senate.gov,Dianne Feinstein
Klobuchar,Amy,5/25/1960,F,sen,MN,Democrat,https://www.klobuchar.senate.gov,Amy Klobuchar
Menendez,Robert,1/1/1954,M,sen,NJ,Democrat,https://www.menendez.senate.gov,Bob Menendez
Sanders,Bernard,9/8/1941,M,sen,VT,Independent,https://www.sanders.senate.gov,Bernie Sanders
Stabenow,Debbie,4/29/1950,F,sen,MI,Democrat,https://www.stabenow.senate.gov,Debbie Stabenow
Tester,Jon,8/21/1956,M,sen,MT,Democrat,https://www.tester.senate.gov,Jon Tester
Whitehouse,Sheldon,10/20/1955,M,sen,RI,Democrat,https://www.whitehouse.senate.gov,Sheldon Whitehouse
Barrasso,John,7/21/1952,M,sen,WY,Republican,https://www.barrasso.senate.gov,John Barrasso
Wicker,Roger,7/5/1951,M,sen,MS,Republican,https://www.wicker.senate.gov,Roger Wicker
Alexander,Lamar,7/3/1940,M,sen,TN,Republican,https://www.alexander.senate.gov/public,Lamar Alexander
Collins,Susan,12/7/1952,F,sen,ME,Republican,https://www.collins.senate.gov,Susan Collins
Cornyn,John,2/2/1952,M,sen,TX,Republican,https://www.cornyn.senate.gov,John Cornyn
Durbin,Richard,11/21/1944,M,sen,IL,Democrat,https://www.durbin.senate.gov,Dick Durbin
Enzi,Michael,2/1/1944,M,sen,WY,Republican,https://www.enzi.senate.gov,Mike Enzi
Graham,Lindsey,7/9/1955,M,sen,SC,Republican,https://www.lgraham.senate.gov/public,Lindsey Graham
Inhofe,James,11/17/1934,M,sen,OK,Republican,https://www.inhofe.senate.gov,Jim Inhofe
McConnell,Mitch,2/20/1942,M,sen,KY,Republican,https://www.mcconnell.senate.gov,Mitch McConnell
Merkley,Jeff,10/24/1956,M,sen,OR,Democrat,https://www.merkley.senate.gov,Jeff Merkley
Reed,John,11/12/1949,M,sen,RI,Democrat,https://www.reed.senate.gov,Jack Reed (Rhode Island politician)
Risch,James,5/3/1943,M,sen,ID,Republican,https://www.risch.senate.gov,Jim Risch
Roberts,Pat,4/20/1936,M,sen,KS,Republican,https://www.roberts.senate.gov,Pat Roberts
Shaheen,Jeanne,1/28/1947,F,sen,NH,Democrat,https://www.shaheen.senate.gov,Jeanne Shaheen
Udall,Tom,5/18/1948,M,sen,NM,Democrat,https://www.tomudall.senate.gov,Tom Udall
Warner,Mark,12/15/1954,M,sen,VA,Democrat,https://www.warner.senate.gov,Mark Warner
Gillibrand,Kirsten,12/9/1966,F,sen,NY,Democrat,https://www.gillibrand.senate.gov,Kirsten Gillibrand
Coons,Chris,9/9/1963,M,sen,DE,Democrat,https://www.coons.senate.gov,Chris Coons
Manchin,Joe,8/24/1947,M,sen,WV,Democrat,https://www.manchin.senate.gov,Joe Manchin
Aderholt,Robert,7/22/1965,M,rep,AL,Republican,https://aderholt.house.gov,Robert Aderholt
Amash,Justin,4/18/1980,M,rep,MI,Libertarian,https://amash.house.gov,Justin Amash
Baldwin,Tammy,2/11/1962,F,sen,WI,Democrat,https://www.baldwin.senate.gov,Tammy Baldwin
Bass,Karen,10/3/1953,F,rep,CA,Democrat,https://bass.house.gov,Karen Bass
Bennet,Michael,11/28/1964,M,sen,CO,Democrat,https://www.bennet.senate.gov/public,Michael Bennet
Bilirakis,Gus,2/8/1963,M,rep,FL,Republican,https://bilirakis.house.gov,Gus Bilirakis
Bishop,Rob,7/13/1951,M,rep,UT,Republican,https://robbishop.house.gov,Rob Bishop
Bishop,Sanford,2/4/1947,M,rep,GA,Democrat,https://bishop.house.gov,Sanford Bishop
Blackburn,Marsha,6/6/1952,F,sen,TN,Republican,https://www.blackburn.senate.gov,Marsha Blackburn
Blumenauer,Earl,8/16/1948,M,rep,OR,Democrat,https://blumenauer.house.gov,Earl Blumenauer
Blumenthal,Richard,2/13/1946,M,sen,CT,Democrat,https://www.blumenthal.senate.gov,Richard Blumenthal
Blunt,Roy,1/10/1950,M,sen,MO,Republican,https://www.blunt.senate.gov,Roy Blunt
Boozman,John,12/10/1950,M,sen,AR,Republican,https://www.boozman.senate.gov/public,John Boozman
Brady,Kevin,4/11/1955,M,rep,TX,Republican,https://kevinbrady.house.gov,Kevin Brady
Brooks,Mo,4/29/1954,M,rep,AL,Republican,https://brooks.house.gov,Mo Brooks
Buchanan,Vern,5/8/1951,M,rep,FL,Republican,https://buchanan.house.gov,Vern Buchanan
