last_name,first_name,full_name,birthday,gender,type,state,party,url
Brown,Sherrod,Sherrod Brown,11/9/1952,M,sen,OH,https://www.brown.senate.gov,
Cantwell,Maria,Maria Cantwell,10/13/1958,F,sen,WA,https://www.cantwell.senate.gov,
Cardin,Benjamin,Benjamin L. Cardin,10/5/1943,M,sen,MD,https://www.cardin.senate.gov,
Carper,Thomas,Thomas R. Carper,1/23/1947,M,sen,DE,https://www.carper.senate.gov/public,
Casey,Robert,Robert P. Casey,4/13/1960,M,sen,PA,https://www.casey.senate.gov,
Feinstein,Dianne,Dianne Feinstein,6/22/1933,F,sen,CA,https://www.feinstein.senate.gov,
Klobuchar,Amy,Amy Klobuchar,5/25/1960,F,sen,MN,https://www.klobuchar.senate.gov,
Menendez,Robert,Robert Menendez,1/1/1954,M,sen,NJ,https://www.menendez.senate.gov,
Sanders,Bernard,Bernard Sanders,9/8/1941,M,sen,VT,https://www.sanders.senate.gov,
Stabenow,Debbie,Debbie Stabenow,4/29/1950,F,sen,MI,https://www.stabenow.senate.gov,
Tester,Jon,Jon Tester,8/21/1956,M,sen,MT,https://www.tester.senate.gov,
Whitehouse,Sheldon,Sheldon Whitehouse,10/20/1955,M,sen,RI,https://www.whitehouse.senate.gov,
Barrasso,John,John Barrasso,7/21/1952,M,sen,WY,https://www.barrasso.senate.gov,
Wicker,Roger,Roger F. Wicker,7/5/1951,M,sen,MS,https://www.wicker.senate.gov,
Alexander,Lamar,Lamar Alexander,7/3/1940,M,sen,TN,https://www.alexander.senate.gov/public,
Collins,Susan,Susan M. Collins,12/7/1952,F,sen,ME,https://www.collins.senate.gov,
Cornyn,John,John Cornyn,2/2/1952,M,sen,TX,https://www.cornyn.senate.gov,
Durbin,Richard,Richard J. Durbin,11/21/1944,M,sen,IL,https://www.durbin.senate.gov,
Enzi,Michael,Michael B. Enzi,2/1/1944,M,sen,WY,https://www.enzi.senate.gov,
Graham,Lindsey,Lindsey Graham,7/9/1955,M,sen,SC,https://www.lgraham.senate.gov/public,
Inhofe,James,James M. Inhofe,11/17/1934,M,sen,OK,https://www.inhofe.senate.gov,
McConnell,Mitch,Mitch McConnell,2/20/1942,M,sen,KY,https://www.mcconnell.senate.gov,
Merkley,Jeff,Jeff Merkley,10/24/1956,M,sen,OR,https://www.merkley.senate.gov,
Reed,John,Jack Reed,11/12/1949,M,sen,RI,https://www.reed.senate.gov,
Risch,James,James E. Risch,5/3/1943,M,sen,ID,https://www.risch.senate.gov,
Roberts,Pat,Pat Roberts,4/20/1936,M,sen,KS,https://www.roberts.senate.gov,
Shaheen,Jeanne,Jeanne Shaheen,1/28/1947,F,sen,NH,https://www.shaheen.senate.gov,
Udall,Tom,Tom Udall,5/18/1948,M,sen,NM,https://www.tomudall.senate.gov,
Warner,Mark,Mark R. Warner,12/15/1954,M,sen,VA,https://www.warner.senate.gov,
Gillibrand,Kirsten,Kirsten E. Gillibrand,12/9/1966,F,sen,NY,https://www.gillibrand.senate.gov,
Coons,Chris,Christopher A. Coons,9/9/1963,M,sen,DE,https://www.coons.senate.gov,
Manchin,Joe,Joe Manchin,8/24/1947,M,sen,WV,https://www.manchin.senate.gov,
Aderholt,Robert,Robert B. Aderholt,7/22/1965,M,rep,AL,Republican,https://aderholt.house.gov
Amash,Justin,Justin Amash,4/18/1980,M,rep,MI,Libertarian,https://amash.house.gov
Baldwin,Tammy,Tammy Baldwin,2/11/1962,F,sen,WI,https://www.baldwin.senate.gov,
Bass,Karen,Karen Bass,10/3/1953,F,rep,CA,Democrat,https://bass.house.gov
Bennet,Michael,Michael F. Bennet,11/28/1964,M,sen,CO,https://www.bennet.senate.gov/public,
Bilirakis,Gus,Gus M. Bilirakis,2/8/1963,M,rep,FL,Republican,https://bilirakis.house.gov
Bishop,Rob,Rob Bishop,7/13/1951,M,rep,UT,Republican,https://robbishop.house.gov
Bishop,Sanford,Sanford D. Bishop,2/4/1947,M,rep,GA,Democrat,https://bishop.house.gov
Blackburn,Marsha,Marsha Blackburn,6/6/1952,F,sen,TN,https://www.blackburn.senate.gov,
Blumenauer,Earl,Earl Blumenauer,8/16/1948,M,rep,OR,Democrat,https://blumenauer.house.gov
Blumenthal,Richard,Richard Blumenthal,2/13/1946,M,sen,CT,https://www.blumenthal.senate.gov,
Blunt,Roy,Roy Blunt,1/10/1950,M,sen,MO,https://www.blunt.senate.gov,
Boozman,John,John Boozman,12/10/1950,M,sen,AR,https://www.boozman.senate.gov/public,
Brady,Kevin,Kevin Brady,4/11/1955,M,rep,TX,Republican,https://kevinbrady.house.gov
Brooks,Mo,Mo Brooks,4/29/1954,M,rep,AL,Republican,https://brooks.house.gov
Buchanan,Vern,Vern Buchanan,5/8/1951,M,rep,FL,Republican,https://buchanan.house.gov
Bucshon,Larry,Larry Bucshon,5/31/1962,M,rep,IN,Republican,https://bucshon.house.gov
Burgess,Michael,Michael C. Burgess,12/23/1950,M,rep,TX,Republican,https://burgess.house.gov
Burr,Richard,Richard Burr,11/30/1955,M,sen,NC,https://www.burr.senate.gov,
Butterfield,George,G. K. Butterfield,4/27/1947,M,rep,NC,Democrat,https://butterfield.house.gov
Calvert,Ken,Ken Calvert,6/8/1953,M,rep,CA,Republican,https://calvert.house.gov
Capito,Shelley,Shelley Moore Capito,11/26/1953,F,sen,WV,https://www.capito.senate.gov,
Carson,André,André Carson,10/16/1974,M,rep,IN,Democrat,https://carson.house.gov
Carter,John,John R. Carter,11/6/1941,M,rep,TX,Republican,https://carter.house.gov
Cassidy,Bill,Bill Cassidy,9/28/1957,M,sen,LA,https://www.cassidy.senate.gov,
Castor,Kathy,Kathy Castor,8/20/1966,F,rep,FL,Democrat,https://castor.house.gov
Chabot,Steve,Steve Chabot,1/22/1953,M,rep,OH,Republican,https://chabot.house.gov
Chu,Judy,Judy Chu,7/7/1953,F,rep,CA,Democrat,https://chu.house.gov
Cicilline,David,David N. Cicilline,7/15/1961,M,rep,RI,Democrat,https://cicilline.house.gov
Clarke,Yvette,Yvette D. Clarke,11/21/1964,F,rep,NY,Democrat,https://clarke.house.gov
Clay,Wm.,Wm. Lacy Clay,7/27/1956,M,rep,MO,Democrat,https://lacyclay.house.gov
Cleaver,Emanuel,Emanuel Cleaver,10/26/1944,M,rep,MO,Democrat,https://cleaver.house.gov
Clyburn,James,James E. Clyburn,7/21/1940,M,rep,SC,Democrat,https://clyburn.house.gov
